"","subjID","A_mean","alpha_mean","lambda_mean","epP_mean","epN_mean","K_mean","w_mean","cons_mean"
"1",101,0.3578,0.6273,0.0182,4.8011,-7.0236,0.2271,0.7945,1.0459
"2",102,0.0895,0.6161,0.0881,-2.8861,-5.1111,0.3823,0.8465,0.7992
"3",103,0.0381,0.2215,0.8984,1.326,-7.2292,0.5487,0.8547,1.1005
"4",104,0.0914,0.382,0.3736,-3.7399,-11.06,0.5678,0.7174,1.0347
"5",105,0.0463,0.4928,0.1843,-7.6295,-8.1276,0.7019,0.7196,1.2049
"6",106,0.2491,1.1219,0.0197,1.8186,-5.1756,0.3353,0.848,0.7896
"7",107,0.2128,1.2314,0.0416,-8.2333,-8.1836,0.5278,0.6833,1.0824
"8",108,0.1475,0.3789,0.1197,-0.5055,-9.102,0.4986,0.811,0.9598
"9",109,0.0178,0.3764,3.0611,-5.2936,-6.343,0.3696,0.7985,1.0218
"10",110,0.5251,1.0047,0.0063,-4.0441,-1.8091,0.2243,0.8746,1.2146
"11",111,0.0679,0.6612,0.098,4.2423,-3.265,0.334,0.8233,0.8621
"12",112,0.7196,0.4395,0.3635,-2.213,-8.4028,0.1073,0.8312,1.1572
"13",113,0.2057,0.2863,0.0529,-6.7921,-5.1081,0.474,0.7824,1.0207
"14",114,0.5157,0.1383,0.1029,0.362,-10.2993,0.6348,0.8114,1.3084
"15",115,0.1459,0.8012,0.0207,2.3747,-3.1783,0.4432,0.8763,0.9991
"16",116,0.8973,0.5949,0.0099,3.3087,-5.6514,0.2138,0.848,1.0793
"17",117,0.0342,0.616,4.1779,-4.4726,-11.7504,0.4554,0.7111,1.3638
"18",118,0.0908,1.0156,0.0224,3.8117,4.5434,0.2841,0.7625,1.0313
"19",119,0.3534,0.4375,0.0312,2.6405,3.8871,0.2723,0.8056,1.0599
"20",120,0.1745,0.1079,0.0861,1.9119,-8.6253,0.6308,0.8143,0.984
"21",121,0.0339,0.5888,0.061,2.395,-3.1949,0.5779,0.8892,1.2049
"22",122,0.3106,0.1337,0.0989,2.7666,-10.3014,0.5047,0.8009,1.4618
"23",123,0.5409,0.5811,0.2474,4.9019,-5.9224,0.3285,0.7847,0.8426
"24",124,0.8133,0.0683,0.0513,2.4312,-10.1506,0.4549,0.7618,0.9417
"25",125,0.6551,0.3362,0.4006,-0.4392,-5.9074,0.4325,0.855,0.879
"26",126,0.0219,0.7434,0.0226,-2.12,-6.7865,0.1697,0.8839,1.7798
"27",127,0.0355,0.584,0.0578,-1.348,-7.4412,0.4632,0.8544,1.0621
"28",128,0.7807,0.1962,0.0105,2.1127,-9.4807,0.5824,0.8125,1.2178
"29",129,0.3657,1.0106,0.0131,-0.3236,-9.0953,0.5109,0.8065,0.9152
"30",130,0.054,0.3103,1.8501,-5.0041,-6.6973,0.2935,0.8155,1.0986
"31",131,0.1171,0.226,0.0277,-0.1239,-4.4617,0.3546,0.8924,1.1782
"32",132,0.0525,0.5737,0.2288,-5.2195,-6.6841,0.2908,0.7854,0.9517
"33",133,0.047,0.871,0.038,-7.6786,-6.9743,0.586,0.7398,1.204
"34",134,0.1877,0.7252,0.0243,2.621,1.0324,0.6258,0.8519,0.9809
"35",135,0.4893,0.3457,0.0214,1.6308,-0.4539,0.6928,0.8779,1.0052
"36",136,0.1054,0.1386,0.9748,4.2108,-7.4154,0.4922,0.8012,1.0368
"37",138,0.342,0.4195,0.1764,5.0833,1.3211,0.3535,0.7707,0.8513
"38",139,0.0277,0.5146,4.0006,-6.352,-7.329,0.3689,0.7502,1.0321
"39",140,0.1085,0.2461,1.4157,4.5045,-0.5559,0.5241,0.8175,0.9319
"40",141,0.4371,0.7851,0.1003,-1.3675,5.5841,0.3955,0.7629,0.9191
"41",142,0.0115,0.578,0.3385,2.2831,4.4996,0.5551,0.7835,1.0396
"42",143,0.0345,0.4351,1.3474,-3.3401,-8.2687,0.2972,0.7952,0.9315
"43",144,0.0908,0.3294,0.1057,-2.5511,-11.3841,0.51,0.7889,1.5846
"44",145,0.0592,0.4665,0.5236,-9.7982,-8.4593,0.6933,0.6334,1.5047
"45",146,0.3218,0.7575,0.065,-2.5489,-8.4835,0.4203,0.7988,0.8368
"46",147,0.0218,0.4911,0.6763,2.878,-5.8098,0.4125,0.839,0.8973
"47",148,0.0631,0.9744,0.0114,-0.1221,-6.2616,0.3189,0.8741,1.0494
"48",149,0.1301,0.0804,0.442,-1.3839,-5.3383,0.3356,0.8636,0.8885
"49",150,0.0142,0.5878,0.311,2.5265,1.93,0.7497,0.835,0.9098
"50",151,0.4507,0.0964,0.082,-2.0707,-4.2947,0.1144,0.8951,1.4219
"51",152,0.4692,0.7208,0.1541,2.6513,0.5494,0.8321,0.8478,0.8723
"52",153,0.1385,0.8762,0.0334,-0.3927,-10.696,0.3416,0.79,1.1636
"53",154,0.0559,0.1979,1.9323,-5.8164,-5.6201,0.6538,0.793,0.9541
"54",155,0.0667,0.5616,0.2228,-2.8231,-7.3638,0.5765,0.8267,0.8851
"55",156,0.0601,0.4646,0.4085,3.269,-6.1001,0.6991,0.8253,0.884
"56",157,0.7487,0.7698,0.0047,0.9527,-11.2235,0.5014,0.7848,1.3269
"57",158,0.1868,0.1518,0.7924,-1.9264,-7.6693,0.4863,0.8428,1.0368
"58",159,0.0283,0.5296,0.3224,-7.1892,-7.5674,0.4666,0.7289,1.1495
"59",160,0.0264,0.1836,2.1594,0.7516,-0.046,0.6013,0.8859,1.0964
"60",161,0.0934,0.0747,0.7097,-5.6205,-6.6264,0.4754,0.8263,1.4325
"61",162,0.0769,1.1047,0.0203,4.6264,-3.0457,0.397,0.8443,1.1075
"62",163,0.3939,0.7824,0.0415,4.8747,-5.7234,0.3947,0.7973,0.8894
"63",164,0.0465,0.3022,0.1027,-6.0215,-5.7058,0.2492,0.7962,1.0651
"64",165,0.5747,0.6629,0.0305,-6.5183,-9.0379,0.5795,0.7351,1.0635
"65",166,0.0206,1.4119,0.0055,-6.8494,-6.3078,0.2215,0.796,1.4049
"66",167,0.1027,0.3586,1.2763,-6.8988,-6.8807,0.6354,0.7459,1.0094
"67",168,0.1661,1.0159,0.0208,4.7059,3.7936,0.3814,0.7609,0.9974
"68",169,0.2356,0.1089,0.1428,-2.2909,-7.1883,0.2229,0.8582,1.1713
"69",170,0.0668,0.5252,0.146,2.791,-4.6717,0.69,0.8662,1.0421
"70",171,0.0397,1.1866,0.0202,-0.9869,-8.1762,0.4697,0.8558,1.2558
