"subjID","trial","choice","gain","loss"
101,1,2,4,0
101,2,4,2,-10
101,3,1,4,0
101,4,2,4,0
101,5,2,4,0
101,6,2,4,0
101,7,2,4,0
101,8,3,2,0
101,9,2,4,0
101,10,2,4,0
101,11,2,4,0
101,12,2,4,0
101,13,2,4,0
101,14,2,4,0
101,15,2,4,0
101,16,2,4,0
101,17,1,4,-8
101,18,2,4,0
101,19,2,4,0
101,20,3,2,-2
101,21,4,2,0
101,22,4,2,0
101,23,4,2,0
101,24,2,4,0
101,25,2,4,0
101,26,2,4,0
101,27,2,4,0
101,28,2,4,0
101,29,2,4,0
101,30,2,4,-50
101,31,3,2,0
101,32,1,4,0
101,33,1,4,-12
101,34,3,2,-2
101,35,2,4,-50
101,36,4,2,0
101,37,4,2,0
101,38,4,2,0
101,39,4,2,0
101,40,4,2,0
101,41,4,2,0
101,42,4,2,0
101,43,4,2,-10
101,44,2,4,0
101,45,2,4,0
101,46,2,4,0
101,47,2,4,0
101,48,2,4,0
101,49,2,4,0
101,50,2,4,0
101,51,2,4,0
101,52,2,4,0
101,53,2,4,0
101,54,2,4,-50
101,55,1,4,-10
101,56,3,2,0
101,57,4,2,0
101,58,2,4,0
101,59,2,4,0
101,60,2,4,0
101,61,2,4,0
101,62,2,4,0
101,63,2,4,0
101,64,2,4,0
101,65,2,4,0
101,66,2,4,-50
101,67,2,4,0
101,68,2,4,0
101,69,2,4,0
101,70,2,4,0
101,71,2,4,0
101,72,2,4,0
101,73,2,4,0
101,74,2,4,-50
101,75,2,4,0
101,76,2,4,0
101,77,2,4,0
101,78,2,4,0
101,79,2,4,0
101,80,2,4,0
101,81,3,2,-2
101,82,4,2,0
101,83,4,2,0
101,84,4,2,0
101,85,4,2,0
101,86,4,2,0
101,87,4,2,0
101,88,4,2,-10
101,89,2,4,0
101,90,2,4,0
101,91,2,4,0
101,92,2,4,0
101,93,2,4,0
101,94,2,4,0
101,95,4,2,0
101,96,4,2,0
101,97,4,2,0
101,98,4,2,0
101,99,4,2,-10
101,100,3,2,-2
101,101,2,4,0
101,102,2,4,0
101,103,2,4,0
101,104,2,4,-50
101,105,1,4,0
101,106,1,4,-10
101,107,3,2,0
101,108,3,2,-2
101,109,4,2,0
101,110,2,4,0
101,111,1,4,-10
101,112,3,2,-2
101,113,2,4,0
101,114,2,4,0
101,115,2,4,0
101,116,2,4,-50
101,117,4,2,0
101,118,4,2,0
101,119,4,2,0
101,120,2,4,0
101,121,2,4,0
101,122,2,4,0
101,123,3,2,-1
101,124,2,4,0
101,125,2,4,0
101,126,1,4,0
101,127,1,4,-10
101,128,3,2,-2
101,129,2,4,0
101,130,2,4,0
